Term	Instance	Annotation
wet	Vrouwen aanspreken bij de kliniek, zo redeneerde de rechter, geldt niet als een betoging of demonstratie, en wordt dus niet beschermd door de Grondwet.	X
wet	in het Reformatorisch Dagblad liet de advocaat weten dat ze het oordeel verder zal aanvechten.	X
wet	Vrijwilligers van Schreeuw om ­Leven weten dat het weinig zin heeft om aan religie te refereren als ze vrouwen op andere gedachten proberen te brengen, vertelt Develing.	O
wet	“Wij weten dat we in een land leven waarin de meeste mensen niet gelovig zijn.	O
wet	Nee, ik wens iedereen toe, en vind dat dat wettelijk vastgelegd moet zijn, dat iedereen de vrijheid heeft om een beslissing te maken over zijn eigen lijf.	O
wet	Een nieuwe wet staat vrouwen in Nieuw-Zeeland toe hun zwangerschap tot en met twintig ­weken te ­beëindigen.	C
wet	Door het ­besluit vervalt de oude abortuswet, die sinds 1977 van kracht was.	C
wet	In de praktijk voerden Nieuw-Zeelandse artsen abortus al uit, jaarlijks zo’n 13.000 keer, op basis van een aantal wettelijk vastgelegde uitzonderingen.	C
wet	“Deze wet was ouderwets en heel ­paternalistisch” zei Amy Adams, parlementslid en oud-minister van Justitie woensdag.	O
wet	Ze voelden zich klein en gecriminaliseerd door deze wet.	O
wet	“Door de vorige wet moesten vrouwen door veel hoepels springen voor een abortus”, zei hij.	O
wet	Kritiek op de wet was er ook, met name het deel dat over abortussen na twintig weken gaat.	C
wet	“Dat gedeelte van de wet is veel te vaag”, vond Agnes ­Loheni van de centrum-rechtse National Party.	O
wet	De stemming werd beschouwd als een ‘gewetenskwestie’.	X
wet	Ze weten wat ze willen, hebben daar echt al heel goed over nagedacht voordat ze een afspraak met een kliniek maken.	X
wet	Peilingen wijzen uit dat aanscherping van de abortuswetgeving door veel aanhangers van de PiS-partij van Morawiecki niet wordt gewaardeerd.	C
wet	President Duda heeft een nieuw wetsvoorstel ingediend, waarin abortus van foetussen met aangeboren afwijkingen is toegestaan, met uitzondering van foetussen met het syndroom van Down.	C
wet	De campagne wil ons bij monde van een zacht sprekende dame laten weten dat er mensen klaar staan om vrouwen te helpen, die ongewenst zwanger raken.	X
wet	Sinds 1984 hebben vrouwen in Nederland het wettelijke recht in noodsituaties hun zwangerschap te laten beëindigen.	C
wet	Van hen komt 11 procent uit het buitenland omdat de wetgeving daar restrictiever is.	C
